CORNER GO
MEDITERRANEAN AVENUE, 60, BROWN
SPECIAL COMMUNITY CHEST
BALTIC AVENUE, 60, BROWN
SPECIAL INCOME TAX
READING RAILROAD, 200, RAILROAD
ORIENTAL AVENUE, 100, LIGHTBLUE
SPECIAL CHANCE
VERMONT AVENUE, 100, LIGHTBLUE
CONNECTICUT AVENUE, 120, LIGHTBLUE
CORNER JAIL
ST. CHARLES PLACE, 140, PINK
ELECTRIC COMPANY, 150, UTILITY
STATES AVENUE, 140, PINK
VIRGINIA AVENUE, 160, PINK
PENNSYLVANIA RAILROAD, 200, RAILROAD
ST. JAMES PLACE, 180, ORANGE
SPECIAL COMMUNITY CHEST
TENNESSEE AVENUE, 180, ORANGE
NEW YORK AVENUE, 200, ORANGE
CORNER FREE PARKING
KENTUCKY AVENUE, 220, RED
SPECIAL CHANCE
INDIANA AVENUE, 220, RED
ILLINOIS AVENUE, 240, RED
B. & O. RAILROAD, 200, RAILROAD
ATLANTIC AVENUE, 260, YELLOW
VENTNOR AVENUE, 260, YELLOW
WATER WORKS, 150, UTILITY
MARVIN GARDENS, 280, YELLOW
CORNER GO TO JAIL
PACIFIC AVENUE, 300, GREEN
NORTH CAROLINA AVENUE, 300, GREEN
SPECIAL COMMUNITY CHEST
PENNSYLVANIA AVENUE, 320, GREEN
SHORT LINE, 200, RAILROAD
SPECIAL CHANCE
PARK PLACE, 350, BLUE
SPECIAL LUXURY TAX
BOARDWALK, 400, BLUE
